"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.input","Input.type","Input.link1","Input.link2","Input.link3","Input.link4","Input.link5","Input.link6","Input.link7","Input.link8","Answer.link1.on","Answer.link2.on","Answer.link3.on","Answer.link4.on","Answer.link5.on","Answer.link6.on","Answer.link7.on","Answer.link8.on","Approve","Reject"
"3NCN4N1H1GWTC35TX012G75N2A6BN9","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","3A1COHJ8NKALNTJ5HSRH95ECZJA8HM","A2VPINU7L4W0AV","Approved","Tue Apr 23 12:44:39 PDT 2019","Tue Apr 23 12:46:53 PDT 2019","Fri Apr 26 12:46:53 PDT 2019","2019-04-26 19:47:39 UTC","","","134","100% (23/23)","100% (23/23)","100% (23/23)","https://s3.amazonaws.com/nets213-fabrec/tops/blouse.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","true","true","false","false","false","false","true","false"
"3NCN4N1H1GWTC35TX012G75N2A6BN9","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","3K3R2QNK8CIQ6K8ZMJ4USGYDDXTU9X","A23XGAACQZNKQV","Approved","Tue Apr 23 12:44:08 PDT 2019","Tue Apr 23 12:44:41 PDT 2019","Fri Apr 26 12:44:41 PDT 2019","2019-04-26 19:44:42 UTC","","","33","100% (1/1)","100% (1/1)","100% (1/1)","https://s3.amazonaws.com/nets213-fabrec/tops/blouse.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","true","true","false","true","false","false","true","true"
"3NCN4N1H1GWTC35TX012G75N2A6BN9","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","3NKQQ8O39ZK29ALGYZ9WECH34JNDUE","A2KBTDHM44J7X4","Approved","Tue Apr 23 13:25:16 PDT 2019","Tue Apr 23 13:45:04 PDT 2019","Fri Apr 26 13:45:04 PDT 2019","2019-04-26 20:45:40 UTC","","","1188","100% (1/1)","100% (1/1)","100% (1/1)","https://s3.amazonaws.com/nets213-fabrec/tops/blouse.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","false","false","false","true","false","false","false","false"
"3UEDKCTP9V552LH0N6X6JD2NPPAK7R","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","3ERMJ6L4DZ73FTFXYKFONAQD5L4M7N","ACHQIF760VSES","Approved","Tue Apr 23 12:46:05 PDT 2019","Tue Apr 23 12:46:16 PDT 2019","Fri Apr 26 12:46:16 PDT 2019","2019-04-26 19:46:41 UTC","","","11","100% (7/7)","100% (7/7)","100% (7/7)","https://s3.amazonaws.com/nets213-fabrec/tops/button down shirt.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","true","true","true","true","false","false","false","false"
"3UEDKCTP9V552LH0N6X6JD2NPPAK7R","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","3H7Z272LX8M8FH1CUU8QNJ295AJLPQ","AIWX8CTWASWI7","Approved","Tue Apr 23 12:44:55 PDT 2019","Tue Apr 23 12:45:10 PDT 2019","Fri Apr 26 12:45:10 PDT 2019","2019-04-26 19:45:40 UTC","","","15","100% (12/12)","100% (12/12)","100% (12/12)","https://s3.amazonaws.com/nets213-fabrec/tops/button down shirt.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","false","true","true","false","false","true","true","false"
"3UEDKCTP9V552LH0N6X6JD2NPPAK7R","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","3NGI5ARFTUKVPAX81KQ734TV74E1P0","A30NR2NRUVQ8CN","Approved","Tue Apr 23 12:44:49 PDT 2019","Tue Apr 23 12:45:04 PDT 2019","Fri Apr 26 12:45:04 PDT 2019","2019-04-26 19:45:40 UTC","","","15","100% (15/15)","100% (15/15)","100% (15/15)","https://s3.amazonaws.com/nets213-fabrec/tops/button down shirt.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","true","true","false","false","false","true","false","true"
"3RWB1RTQDJ2ADQJZA3UKTUKHUJMP8K","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","3UJ1CZ6IZI4RQKEJUOWD1ZBN64YS5X","A1X2TCTMSKB1JX","Approved","Tue Apr 23 13:02:00 PDT 2019","Tue Apr 23 13:03:11 PDT 2019","Fri Apr 26 13:03:11 PDT 2019","2019-04-26 20:03:39 UTC","","","71","100% (1/1)","100% (1/1)","100% (1/1)","https://s3.amazonaws.com/nets213-fabrec/tops/gypsy.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","false","false","false","true","false","true","false","false"
"3RWB1RTQDJ2ADQJZA3UKTUKHUJMP8K","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","3Z7VU45IPZWP3EZEOTO9U2V9H3LZ1J","A1DHL4XO3VT7TR","Approved","Tue Apr 23 12:45:50 PDT 2019","Tue Apr 23 12:46:16 PDT 2019","Fri Apr 26 12:46:16 PDT 2019","2019-04-26 19:46:41 UTC","","","26","100% (3/3)","100% (3/3)","100% (3/3)","https://s3.amazonaws.com/nets213-fabrec/tops/gypsy.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","true","true","false","false","false","false","false","true"
"3RWB1RTQDJ2ADQJZA3UKTUKHUJMP8K","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","3Z9WI9EOZ035IUL6QHOKZAN3UJ3KHG","A2VPINU7L4W0AV","Approved","Tue Apr 23 12:44:09 PDT 2019","Tue Apr 23 12:44:27 PDT 2019","Fri Apr 26 12:44:27 PDT 2019","2019-04-26 19:44:41 UTC","","","18","100% (23/23)","100% (23/23)","100% (23/23)","https://s3.amazonaws.com/nets213-fabrec/tops/gypsy.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","false","false","false","true","true","false","true","false"
"3S4TINXCC02BUO55YF1FVW5SSKBBOO","3BH55VSCCHTHJ5NRBUFR8GHYE1WBJH","FASHION: Select 3 styles that match the given piece","Select 3 styles that match the given piece","style, recommendation, fashion","$0.02","Tue Apr 23 12:41:06 PDT 2019","3","BatchId:3617963;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 30 12:41:06 PDT 2019","","","31JLPPHS2V99EDZM9ORB2X32VJWO3Y","A2VPINU7L4W0AV","Approved","Tue Apr 23 12:45:24 PDT 2019","Tue Apr 23 12:45:38 PDT 2019","Fri Apr 26 12:45:38 PDT 2019","2019-04-26 19:45:43 UTC","","","14","100% (23/23)","100% (23/23)","100% (23/23)","https://s3.amazonaws.com/nets213-fabrec/tops/henley.JPG","top","https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/harem.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/jumpsuit.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/overalls.JPG","true","true","true","false","false","false","false","false"
