target-color,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17
#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F
#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000
#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21
#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB
#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703
#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376
#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764
#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A
#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED
#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E
#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF
#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100
#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028
#FF8C00,#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625
#FED5DD,#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00
#ABAFB2,#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD
#1BA2FF,#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2
#00E41F,#000000,#5C3D21,#FCE9CB,#F11703,#682376,#223764,#731D3A,#B2D8ED,#E1407E,#FFFFFF,#FFF100,#A0A028,#113625,#FF8C00,#FED5DD,#ABAFB2,#1BA2FF
