label,color,match1,match2,match3
blue,#1BA2FF,#FFFFFF,#F11703,#FFF100
purple,#682376,#ABAFB2,#FFFFFF,#000000
yellow,#FFF100,#000000,#FFFFFF,#223764
dark blue,#223764,#FFF100,#FFFFFF,#FED5DD
lemon ginger,#A0A028,#5C3D21,#FF8C00,#223764
red,#F11703,#FF8C00,#731D3A,#FCE9CB
dark green,#113625,#ABAFB2,#1BA2FF,#FFFFFF
black,#000000,#731D3A,#ABAFB2,#223764
pink,#E1407E,#FFFFFF,#000000,#FCE9CB
orange,#FF8C00,#FFFFFF,#113625,#000000
maroon,#731D3A,#113625,#E1407E,#1BA2FF
white,#FFFFFF,#000000,#223764,#1BA2FF
brown,#5C3D21,#FFFFFF,#F11703,#FED5DD
beige,#FCE9CB,#223764,#731D3A,#5C3D21
green,#00E41F,#FFFFFF,#000000,#A0A028
baby blue,#B2D8ED,#FFFFFF,#ABAFB2,#FED5DD
grey,#ABAFB2,#223764,#000000,#B2D8ED
light pink,#FED5DD,#FFFFFF,#1BA2FF,#682376
