input,type,link1,link2,link3,link4,link5,link6,link7,link8
s3://nets213-fabrec/tops/blouse.JPG,top,s3://nets213-fabrec/pants/5 pocket jeans.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/harem.JPG,s3://nets213-fabrec/pants/hot pants shorts.JPG,s3://nets213-fabrec/pants/jumpsuit.JPG,s3://nets213-fabrec/pants/leggings.JPG,s3://nets213-fabrec/pants/overalls.JPG
s3://nets213-fabrec/tops/button down shirt.JPG,top,s3://nets213-fabrec/pants/5 pocket jeans.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/harem.JPG,s3://nets213-fabrec/pants/hot pants shorts.JPG,s3://nets213-fabrec/pants/jumpsuit.JPG,s3://nets213-fabrec/pants/leggings.JPG,s3://nets213-fabrec/pants/overalls.JPG
s3://nets213-fabrec/tops/gypsy.JPG,top,s3://nets213-fabrec/pants/5 pocket jeans.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/harem.JPG,s3://nets213-fabrec/pants/hot pants shorts.JPG,s3://nets213-fabrec/pants/jumpsuit.JPG,s3://nets213-fabrec/pants/leggings.JPG,s3://nets213-fabrec/pants/overalls.JPG
s3://nets213-fabrec/tops/henley.JPG,top,s3://nets213-fabrec/pants/5 pocket jeans.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/harem.JPG,s3://nets213-fabrec/pants/hot pants shorts.JPG,s3://nets213-fabrec/pants/jumpsuit.JPG,s3://nets213-fabrec/pants/leggings.JPG,s3://nets213-fabrec/pants/overalls.JPG
s3://nets213-fabrec/tops/turtleneck.JPG,top,s3://nets213-fabrec/pants/5 pocket jeans.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/harem.JPG,s3://nets213-fabrec/pants/hot pants shorts.JPG,s3://nets213-fabrec/pants/jumpsuit.JPG,s3://nets213-fabrec/pants/leggings.JPG,s3://nets213-fabrec/pants/overalls.JPG
s3://nets213-fabrec/tops/polo.JPG,top,s3://nets213-fabrec/pants/5 pocket jeans.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/harem.JPG,s3://nets213-fabrec/pants/hot pants shorts.JPG,s3://nets213-fabrec/pants/jumpsuit.JPG,s3://nets213-fabrec/pants/leggings.JPG,s3://nets213-fabrec/pants/overalls.JPG
s3://nets213-fabrec/tops/sweater.JPG,top,s3://nets213-fabrec/pants/5 pocket jeans.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/harem.JPG,s3://nets213-fabrec/pants/hot pants shorts.JPG,s3://nets213-fabrec/pants/jumpsuit.JPG,s3://nets213-fabrec/pants/leggings.JPG,s3://nets213-fabrec/pants/overalls.JPG
s3://nets213-fabrec/tops/sweatshirt.JPG,top,s3://nets213-fabrec/pants/5 pocket jeans.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/boot cut.JPG,s3://nets213-fabrec/pants/harem.JPG,s3://nets213-fabrec/pants/hot pants shorts.JPG,s3://nets213-fabrec/pants/jumpsuit.JPG,s3://nets213-fabrec/pants/leggings.JPG,s3://nets213-fabrec/pants/overalls.JPG
s3://nets213-fabrec/tops/blouse.JPG,top,s3://nets213-fabrec/pants/pegged.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/skort.JPG,s3://nets213-fabrec/pants/slacks.JPG,s3://nets213-fabrec/pants/sweat pants.JPG,s3://nets213-fabrec/pants/wide leg.JPG,s3://nets213-fabrec/pants/yoga pants.JPG
s3://nets213-fabrec/tops/button down shirt.JPG,top,s3://nets213-fabrec/pants/pegged.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/skort.JPG,s3://nets213-fabrec/pants/slacks.JPG,s3://nets213-fabrec/pants/sweat pants.JPG,s3://nets213-fabrec/pants/wide leg.JPG,s3://nets213-fabrec/pants/yoga pants.JPG
s3://nets213-fabrec/tops/gypsy.JPG,top,s3://nets213-fabrec/pants/pegged.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/skort.JPG,s3://nets213-fabrec/pants/slacks.JPG,s3://nets213-fabrec/pants/sweat pants.JPG,s3://nets213-fabrec/pants/wide leg.JPG,s3://nets213-fabrec/pants/yoga pants.JPG
s3://nets213-fabrec/tops/henley.JPG,top,s3://nets213-fabrec/pants/pegged.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/skort.JPG,s3://nets213-fabrec/pants/slacks.JPG,s3://nets213-fabrec/pants/sweat pants.JPG,s3://nets213-fabrec/pants/wide leg.JPG,s3://nets213-fabrec/pants/yoga pants.JPG
s3://nets213-fabrec/tops/turtleneck.JPG,top,s3://nets213-fabrec/pants/pegged.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/skort.JPG,s3://nets213-fabrec/pants/slacks.JPG,s3://nets213-fabrec/pants/sweat pants.JPG,s3://nets213-fabrec/pants/wide leg.JPG,s3://nets213-fabrec/pants/yoga pants.JPG
s3://nets213-fabrec/tops/polo.JPG,top,s3://nets213-fabrec/pants/pegged.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/skort.JPG,s3://nets213-fabrec/pants/slacks.JPG,s3://nets213-fabrec/pants/sweat pants.JPG,s3://nets213-fabrec/pants/wide leg.JPG,s3://nets213-fabrec/pants/yoga pants.JPG
s3://nets213-fabrec/tops/sweater.JPG,top,s3://nets213-fabrec/pants/pegged.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/skort.JPG,s3://nets213-fabrec/pants/slacks.JPG,s3://nets213-fabrec/pants/sweat pants.JPG,s3://nets213-fabrec/pants/wide leg.JPG,s3://nets213-fabrec/pants/yoga pants.JPG
s3://nets213-fabrec/tops/sweatshirt.JPG,top,s3://nets213-fabrec/pants/pegged.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/romper.JPG,s3://nets213-fabrec/pants/skort.JPG,s3://nets213-fabrec/pants/slacks.JPG,s3://nets213-fabrec/pants/sweat pants.JPG,s3://nets213-fabrec/pants/wide leg.JPG,s3://nets213-fabrec/pants/yoga pants.JPG
s3://nets213-fabrec/pants/5 pocket jeans.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/boot cut.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
s3://nets213-fabrec/pants/boot cut.JPG,bottom,s3://nets213-fabrec/tops/blouse.JPG,s3://nets213-fabrec/tops/button down shirt.JPG,s3://nets213-fabrec/tops/gypsy.JPG,s3://nets213-fabrec/tops/henley.JPG,s3://nets213-fabrec/tops/turtleneck.JPG,s3://nets213-fabrec/tops/polo.JPG,s3://nets213-fabrec/tops/sweater.JPG,s3://nets213-fabrec/tops/sweatshirt.JPG
