input,top1,top2,top3
https://s3.amazonaws.com/nets213-fabrec/tops/blouse.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/romper.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG
https://s3.amazonaws.com/nets213-fabrec/tops/gypsy.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/skort.JPG
https://s3.amazonaws.com/nets213-fabrec/tops/sweater.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/hot pants shorts.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG
https://s3.amazonaws.com/nets213-fabrec/tops/sweatshirt.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/leggings.JPG
https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/blouse.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/gypsy.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/henley.JPG
https://s3.amazonaws.com/nets213-fabrec/dress/one-shoulder.JPG,https://s3.amazonaws.com/nets213-fabrec/shoes/ankle strap.JPG,https://s3.amazonaws.com/nets213-fabrec/shoes/kitten.JPG,https://s3.amazonaws.com/nets213-fabrec/shoes/chelsea.JPG
https://s3.amazonaws.com/nets213-fabrec/tops/button down shirt.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG
https://s3.amazonaws.com/nets213-fabrec/tops/henley.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/romper.JPG
https://s3.amazonaws.com/nets213-fabrec/tops/turtleneck.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/slacks.JPG
https://s3.amazonaws.com/nets213-fabrec/tops/polo.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG,https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG
https://s3.amazonaws.com/nets213-fabrec/pants/5 pocket jeans.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/button down shirt.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/gypsy.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/sweatshirt.JPG
https://s3.amazonaws.com/nets213-fabrec/pants/boot cut.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/sweatshirt.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/blouse.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/button down shirt.JPG
https://s3.amazonaws.com/nets213-fabrec/pants/cargo pants.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/henley.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/sweatshirt.JPG,https://s3.amazonaws.com/nets213-fabrec/tops/button down shirt.JPG
