HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,InputColor,ColorSelected1,ColorSelected2,ColorSelected3,ColorSelected4
3UEBBGULPFOG154VSP68I951GOSUFP,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2020,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2019,,,33SA9F9TRXU39FQXIG646Z1MVPUWE2,A1MIBEGF81ZLUS,Approved,Wed April 16 13:42:47 PST 2019,Wed April 16 13:43:30 PST 2019,Sat April 19 13:43:30 PST 2019,2019-01-19 21:43:39 UTC,,,43,100% (7/7),100% (6/6),100% (6/6),blue,blue,green,red,yellow
3UEBBGULPFOG154VSP68I951GOSUFP,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2021,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2020,,,3CFJTT4SXTQ0Z5RI6ROJZY0XUST7IN,A1X1IRFYQZ40LD,Approved,Wed April 16 13:42:47 PST 2020,Wed April 16 13:43:30 PST 2020,Sat April 19 13:43:30 PST 2020,2019-01-19 21:51:41 UTC,,,233,100% (31/31),100% (1/1),100% (1/1),blue,green,blue,purple,brown
3UEBBGULPFOG154VSP68I951GOSUFP,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2022,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2021,,,3OWEPKL089CSD629371B46WEGQMN7G,A1ZGQC0J00M69W,Approved,Wed April 16 13:42:47 PST 2021,Wed April 16 13:43:30 PST 2021,Sat April 19 13:43:30 PST 2021,2019-01-19 22:10:39 UTC,,,1348,100% (171/171),100% (169/169),100% (169/169),blue,black,yellow ,blue,green
37MQ8Z1JQEWDHKCOEVOQ1BHP38YY27,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2023,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2022,,,3F6HPJW4JD0BEZEHPWB34YSXYNNW2L,A2OW2CIT4H7364,Approved,Wed April 16 13:42:47 PST 2022,Wed April 16 13:43:30 PST 2022,Sat April 19 13:43:30 PST 2022,2019-01-20 01:01:37 UTC,,,42,100% (141/141),100% (138/138),100% (138/138),green,blue,green,red,yellow
37MQ8Z1JQEWDHKCOEVOQ1BHP38YY27,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2024,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2023,,,3R6BYFZZP7CA4TVJNWMWQ00TGTWXFX,A1AR5OZLXIF9,Approved,Wed April 16 13:42:47 PST 2023,Wed April 16 13:43:30 PST 2023,Sat April 19 13:43:30 PST 2023,2019-01-20 00:48:37 UTC,,,111,100% (5/5),100% (5/5),100% (5/5),green,green,blue,purple,brown
37MQ8Z1JQEWDHKCOEVOQ1BHP38YY27,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2025,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2024,,,3TVRFO09GKFW4L5F97PULD5DDP4XLO,A2UF2FRGVW4T89,Approved,Wed April 16 13:42:47 PST 2024,Wed April 16 13:43:30 PST 2024,Sat April 19 13:43:30 PST 2024,2019-01-19 23:01:41 UTC,,,2216,98% (369/378),100% (126/126),100% (125/125),green,black,yellow ,blue,green
3VMV5CHJZ8F7FSL134MGVYJBYPLGTJ,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2026,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2025,,,39GHHAVOMFRZBTT5MBBC8NVNG3J4JZ,A1RUURPQJ14A8X,Approved,Wed April 16 13:42:47 PST 2025,Wed April 16 13:43:30 PST 2025,Sat April 19 13:43:30 PST 2025,2019-01-19 20:03:37 UTC,,,261,100% (120/120),100% (110/110),100% (110/110),yellow,blue,green,red,yellow
3VMV5CHJZ8F7FSL134MGVYJBYPLGTJ,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2027,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2026,,,3D8YOU6S9EKM4W8DHY85CNOCTBH6UE,A31A4YKVSOYRVS,Approved,Wed April 16 13:42:47 PST 2026,Wed April 16 13:43:30 PST 2026,Sat April 19 13:43:30 PST 2026,2019-01-19 21:17:41 UTC,,,41,100% (42/42),100% (27/27),100% (27/27),yellow,green,blue,purple,brown
3VMV5CHJZ8F7FSL134MGVYJBYPLGTJ,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2028,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2027,,,3VZLGYJEYLAG9AMJO8G3TSGBSX9ZX4,AA21VG9GOHM54,Approved,Wed April 16 13:42:47 PST 2027,Wed April 16 13:43:30 PST 2027,Sat April 19 13:43:30 PST 2027,2019-01-19 21:46:40 UTC,,,136,100% (8/8),100% (7/7),100% (7/7),yellow,black,yellow ,blue,green
3H6W48L9F4P5KMIU1SHECR423AQPWM,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2029,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2028,,,339ANSOTR52OUKY2PLDS335J0ADIKK,A2M5VW97GIYLHB,Approved,Wed April 16 13:42:47 PST 2028,Wed April 16 13:43:30 PST 2028,Sat April 19 13:43:30 PST 2028,2019-01-19 19:35:37 UTC,,,58,100% (93/93),100% (51/51),100% (51/51),red,blue,green,red,yellow
3H6W48L9F4P5KMIU1SHECR423AQPWM,36G9MO4VB6XKWCIMWHTV1EX0RZ8A3N,Color Matching for Clothes,"Given an input color, please select the top 1-4 colors that would match the input color","Research, Color, Adjectives",$0.10,Sun April 7 10:51:30 PST 2030,3,BatchId:3501467;OriginalHitTemplateId:928390909;,3600,259200,Wed April 23 10:51:30 PST 2029,,,3I3WADAZ9Q4V8NO2GTMRLBINFTH5OH,AOBTFLJU2BEPR,Approved,Wed April 16 13:42:47 PST 2029,Wed April 16 13:43:30 PST 2029,Sat April 19 13:43:30 PST 2029,2019-01-19 19:35:37 UTC,,,50,99% (95/96),100% (85/85),100% (85/85),red,green,blue,purple,brown
