"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.type","Input.input","Input.color1","Input.color2","Input.color3","Input.style1","Input.style2","Input.style3","Answer.item1","Answer.item2","Answer.item3","Approve","Reject"
"3FJ2RVH25ZEPRWGJ5V1CKYK97K292E","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","34QN5IT0T0ZK41ROCJWMQXR0XPE809","A3CHZTDYHQVADE","Submitted","Wed Apr 24 11:18:06 PDT 2019","Wed Apr 24 11:20:35 PDT 2019","Sat Apr 27 11:20:35 PDT 2019","","","","149","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/CCB.jpg","#FFFFFF","#F11703","#000000","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/LEE-Modern-Extreme-Motion-Straight/dp/B071WZJMRV/ref=sr_1_1?keywords=black+jeans+mens+slim&qid=1556129965&s=gateway&sr=8-1","https://www.amazon.com/LEE-Modern-Extreme-Motion-Straight/dp/B071WZJMRV/ref=sr_1_3?keywords=black+jeans+mens+slim&qid=1556129984&s=gateway&sr=8-3","https://www.amazon.com/ZLZ-Stretch-Straight-Fashion-Jeans-Pants/dp/B075TS5149/ref=sr_1_4?keywords=white+jeans+mens&qid=1556130018&s=gateway&sr=8-4"
"3FJ2RVH25ZEPRWGJ5V1CKYK97K292E","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","3DHE4R9OCXJ6TQ0KA4CO1Y1DI672GZ","ALPWT2JWPLXA1","Submitted","Tue Apr 23 20:28:28 PDT 2019","Tue Apr 23 20:29:36 PDT 2019","Fri Apr 26 20:29:36 PDT 2019","","","","68","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/CCB.jpg","#FFFFFF","#F11703","#000000","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/Calvin-Klein-Skinny-Jeans-forever/dp/B07D5TM829/ref=sr_1_3?keywords=uniqlo+black+jeans&qid=1556076516&s=gateway&sr=8-3","https://www.amazon.com/Dockers-Classic-Perfect-Short-Cotton/dp/B00BBW2XZG/ref=sr_1_3?keywords=white+shorts&qid=1556076533&s=gateway&sr=8-3","https://www.amazon.com/Match-Tapered-Stretchy-Casual-Pants/dp/B013HVF2IS/ref=sr_1_9?keywords=black+pants+men&qid=1556076567&s=gateway&sr=8-9"
"3FJ2RVH25ZEPRWGJ5V1CKYK97K292E","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","3IX2EGZR7CRXOC76X0CSZJ11MQ9JR4","A2XA9NIUUIGUGM","Submitted","Wed Apr 24 13:23:32 PDT 2019","Wed Apr 24 13:24:19 PDT 2019","Sat Apr 27 13:24:19 PDT 2019","","","","47","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/CCB.jpg","#FFFFFF","#F11703","#000000","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/Goodthreads-Mens-Skinny-Fit-Selvedge-Black/dp/B07FH4JTB3/ref=sr_1_1_sspa?keywords=black+skinny+jeans+men&qid=1556137426&s=gateway&sr=8-1-spons&psc=1","https://www.amazon.com/Leward-Ripped-Distressed-Destroyed-Straight/dp/B01KYUEB0A/ref=sr_1_1_sspa?keywords=red+skinny+jeans+men&qid=1556137439&s=gateway&sr=8-1-spons&psc=1","https://www.amazon.com/ZLZ-Skinny-Stretch-Comfy-Fashion/dp/B075TS5149/ref=sr_1_1?keywords=white+skinny+jeans+men&qid=1556137449&s=gateway&sr=8-1"
"341H3G5YF0MX1DVIU6RXEYTNPP70Z1","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","323Q6SJS8JO4UG77I59D6H736ATHF1","AAZY70DQJ5BFE","Submitted","Wed Apr 24 11:24:53 PDT 2019","Wed Apr 24 11:26:45 PDT 2019","Sat Apr 27 11:26:45 PDT 2019","","","","112","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Rose.jpg","#000000","#223764","#1BA2FF","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skort.JPG","https://www.amazon.com/Floerns-Womens-Plaid-Waist-Bodycon/dp/B07KFT6D7Y/ref=sr_1_5?keywords=plaid+skirt&qid=1556130316&s=gateway&sr=8-5","https://www.amazon.com/Womens-Ripped-Boyfriend-Stylish-Stretch/dp/B07D9JF6MD/ref=sr_1_4?keywords=womens+jeans&qid=1556130354&s=gateway&sr=8-4","https://www.amazon.com/Levis-Womens-Straight-Jeans-Black/dp/B0086SZBP2/ref=sr_1_11?keywords=womens+jeans+black&qid=1556130382&s=gateway&sr=8-11"
"341H3G5YF0MX1DVIU6RXEYTNPP70Z1","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","3FTOP5WARGW9OIN73NTDFN0ED0A0JN","A2XA9NIUUIGUGM","Submitted","Wed Apr 24 13:21:45 PDT 2019","Wed Apr 24 13:23:32 PDT 2019","Sat Apr 27 13:23:32 PDT 2019","","","","107","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Rose.jpg","#000000","#223764","#1BA2FF","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skort.JPG","https://www.amazon.com/Womens-Versatile-Stretchy-Flared-Skater/dp/B00SGBQI9M/ref=sr_1_3?keywords=blue+skirt&qid=1556137347&s=gateway&sr=8-3","https://www.amazon.com/Urban-CoCo-Womens-Versatile-Stretchy/dp/B014FA0NB6/ref=sr_1_2_sspa?keywords=black+skirt&qid=1556137376&s=gateway&sr=8-2-spons&psc=1","https://www.amazon.com/Levis-Womens-High-Skinny-Jeans/dp/B071V5M4LX/ref=sr_1_2?keywords=blue+skinny+jeans+women&qid=1556137403&s=gateway&sr=8-2"
"341H3G5YF0MX1DVIU6RXEYTNPP70Z1","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","3YDGXNSEO0213P9PVKJO20HDE1U84P","A3CHZTDYHQVADE","Submitted","Wed Apr 24 11:20:38 PDT 2019","Wed Apr 24 11:23:03 PDT 2019","Sat Apr 27 11:23:03 PDT 2019","","","","145","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Rose.jpg","#000000","#223764","#1BA2FF","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skort.JPG","https://www.amazon.com/onlypuff-Waisted-Shorts-Ripped-Zipper/dp/B07MHTR3MB/ref=sr_1_3?keywords=girls+short+jean+shorts&qid=1556130058&s=gateway&sr=8-3","https://www.amazon.com/Wax-Juniors-Denim-Shorts-Medium/dp/B01BMYTC0G/ref=sr_1_5?keywords=womens+jean+shorts&qid=1556130091&s=gateway&sr=8-5","https://www.amazon.com/Lands-End-Womens-Skinny-Jeans/dp/B07GL5HP5L/ref=sr_1_2_sspa?keywords=women+skinny+jeans&qid=1556130155&s=gateway&sr=8-2-spons&psc=1"
"386659BNTLP06HAAMVI5M49BCAU10D","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","308XBLVESJCR6T9U98ZB1VIOELZBRA","A3CHZTDYHQVADE","Submitted","Wed Apr 24 11:12:01 PDT 2019","Wed Apr 24 11:17:03 PDT 2019","Sat Apr 27 11:17:03 PDT 2019","","","","302","0% (0/0)","0% (0/0)","0% (0/0)","dress","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Shriya.jpg","#FFFFFF","#113625","#000000","https://s3.amazonaws.com/nets213-fabrec/shoes/t-strap.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mary jane.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mocassin.JPG","https://www.amazon.com/Vionic-Womens-Pippa-Toepost-Sandals/dp/B071WT3HMR/ref=sr_1_4?keywords=white+sandles+female&qid=1556129698&s=gateway&sr=8-4","https://www.amazon.com/DREAM-PAIRS-Womens-Platform-Sandals/dp/B071Y3DR9H/ref=sr_1_4?keywords=white+heels+female&qid=1556129729&s=gateway&sr=8-4","https://www.amazon.com/IDIFU-Womens-Sabrina-Platform-Chunky/dp/B07BPF8H3C/ref=sr_1_11?keywords=white+heels+female&qid=1556129800&s=gateway&sr=8-11"
"386659BNTLP06HAAMVI5M49BCAU10D","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","3PMBY0YE28B4CY5ETRVKLUOCQKT9CS","AAZY70DQJ5BFE","Submitted","Wed Apr 24 10:53:50 PDT 2019","Wed Apr 24 10:56:16 PDT 2019","Sat Apr 27 10:56:16 PDT 2019","","","","146","0% (0/0)","0% (0/0)","0% (0/0)","dress","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Shriya.jpg","#FFFFFF","#113625","#000000","https://s3.amazonaws.com/nets213-fabrec/shoes/t-strap.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mary jane.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mocassin.JPG","https://www.amazon.com/DREAM-PAIRS-Womens-Platform-Sandals/dp/B071CK67X9/ref=sr_1_3?keywords=white+heels&qid=1556128479&s=gateway&sr=8-3","https://www.amazon.com/Premier-Standard-Strappy-Wedding-Heels-Ha1/dp/B079HL93HG/ref=sr_1_25?keywords=white+heels&qid=1556128515&s=gateway&sr=8-25","https://www.amazon.com/Top-Moda-Evening-Stiletto-8-5/dp/B00K5ZAX7A/ref=sr_1_30?keywords=white+heels&qid=1556128515&s=gateway&sr=8-30"
"386659BNTLP06HAAMVI5M49BCAU10D","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","3RWE2M8QWII578ESILL58UHVMKF0NR","A2XA9NIUUIGUGM","Submitted","Wed Apr 24 13:27:58 PDT 2019","Wed Apr 24 13:29:18 PDT 2019","Sat Apr 27 13:29:18 PDT 2019","","","","80","0% (0/0)","0% (0/0)","0% (0/0)","dress","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Shriya.jpg","#FFFFFF","#113625","#000000","https://s3.amazonaws.com/nets213-fabrec/shoes/t-strap.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mary jane.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mocassin.JPG","https://www.amazon.com/Jabasic-Womens-Loafers-Casual-Driving/dp/B0793TLNPW/ref=sr_1_3?keywords=white+loafers+women&qid=1556137714&s=gateway&sr=8-3","https://www.amazon.com/Sperry-Womens-Seaport-Penny-Loafer/dp/B071X7PJV1/ref=sr_1_5?keywords=green+loafers+women&qid=1556137735&s=gateway&sr=8-5","https://www.amazon.com/Sperry-Womens-Seaport-Penny-Loafer/dp/B072QZZN5J/ref=sr_1_3?keywords=black+loafers+women&qid=1556137749&s=gateway&sr=8-3"
"337F8MIIMZLHYG7T9D17K2GEOU440T","3OF98WC37EGHT6OTICP40HWOWLHMSB","Recommending pieces of clothing that go well with the given item","Provide links to 3 items that will go well with the given item.","fashion, website, data collection","$0.01","Tue Apr 23 15:50:27 PDT 2019","3","BatchId:235244;OriginalHitTemplateId:921587259;","3600","259200","Tue Apr 30 15:50:27 PDT 2019","","","33JKGHPFYD22AMLZ7Q836RO8PNEMNM","A3CHZTDYHQVADE","Submitted","Wed Apr 24 11:28:29 PDT 2019","Wed Apr 24 11:32:05 PDT 2019","Sat Apr 27 11:32:05 PDT 2019","","","","216","0% (0/0)","0% (0/0)","0% (0/0)","bottom","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Joseph.png","#FFFFFF","#1BA2FF","#682376","https://s3.amazonaws.com/nets213-fabrec/tops/gypsy.JPG","https://s3.amazonaws.com/nets213-fabrec/tops/sweatshirt.JPG","https://s3.amazonaws.com/nets213-fabrec/tops/polo.JPG","https://www.amazon.com/Hanes-Mens-Ecosmart-Fleece-Sweatshirt/dp/B01L8JJG0G/ref=sr_1_5?keywords=mens+sweatshirt+blue+baggy&qid=1556130640&s=gateway&sr=8-5","https://www.amazon.com/H2H-Casual-Henley-T-Shirt-Designed/dp/B0722L4QMH/ref=sr_1_5?keywords=mens+henley&qid=1556130670&s=gateway&sr=8-5","https://www.amazon.com/Derminpro-Premium-Cotton-Henley-T-Shirts/dp/B07K1XXMJ4/ref=sr_1_8?keywords=mens+henley+purple&qid=1556130706&s=gateway&sr=8-8"
